,Fecha,Ubicacion,Operador,Ruta,Tipo Avion,Num Registro,cn / ln,Total Muertes en Suelo,Año,Total Abordo,Pasajeros abordo,Tripulación Abordo,Total Muertes,Muertes Pasajeros,Muertes Tripulacion,Tasa Mortalidad,Ciudad
1501,1955-01-12,"Greater Cincinnati Airport, Covington, Kentucky",Trans World Airlines / Castleton Inc.,Cincinnati - Cleveland,Martin 202A / DC-3,N93211/N999B,14081 / 4255,0,1955,15,10,5,15,10,5,1.0,Cincinnati 
1503,1955-01-19,"Des Moines, Iowa",United Air Lines,Newark - Des Moines - Lincoln,Convair CV-340,N73154,180,0,1955,39,36,3,0,0,0,0.0,Newark 
1505,1955-02-02,"Nagpur, India",Indian Airlines,Nagpur - Delhi,Douglas DC-3,VT-CVB,13037,0,1955,10,6,4,10,6,4,1.0,Nagpur 
1506,1955-02-05,"Near Calabar, Nigeria",West African Airways,Enugu - Calabar,Bristol 170 Freighter 21E,VR-NAD,12779,0,1955,13,9,4,13,9,4,1.0,Enugu 
1507,1955-02-13,"Abruzzio Mountains, Italy",Sabena,Brussels - Rome,Douglas DC-6,OO-SDB,43063/60,0,1955,29,21,8,29,21,8,1.0,Brussels 
1508,1955-02-19,"Albuquerque, New Mexico",Trans World Airlines,Albuquerque - Sante Fe,Martin 404,N40416,14120,0,1955,16,13,3,16,13,3,1.0,Albuquerque 
1509,1955-02-23,"Salisbury,  Zimbabwe",Central African Airways,Salisbury - Lusaka,Douglas DC-3,VP-YKO,15109/26554,0,1955,26,21,5,1,0,1,0.038461538461538464,Salisbury 
1513,1955-03-08,"Mascota, Mexico",Mexicana,Puerto Vallarta - Talpa de Allende - Mascota - Guadalajara,Douglas DC-3,XA-DIK,3992,0,1955,26,23,3,26,23,3,1.0,Puerto Vallarta 
1514,1955-03-09,"Trujillo, Colombia",AVIANCA,Condoto - Cali,Douglas C-47A,HK-328,20224,0,1955,8,5,3,8,5,3,1.0,Condoto 
1515,1955-03-20,"Springfield, Missouri",American Airlines,Newark - Chicago - St. Louis - Springfield - Tulsa,Convair CV-240-0,N94234,066,0,1955,35,32,3,13,11,2,0.37142857142857144,Newark 
1516,1955-03-22,"Oahu, Hawaii",Military - U.S. Navy,Tokyo - Hickam - Travis,Douglas R6D-1 (C-118B),131612,43715,0,1955,66,57,9,66,57,9,1.0,Tokyo 
1517,1955-03-26,Off the Oregon coast,Pan American World Airways,Portland - Honolulu,Boeing 377 Stratocruiser 10-26,N1032V,15932,0,1955,23,15,8,4,2,2,0.17391304347826086,Portland 
1518,1955-04-02,"Off Pensacola, Florida",Aaxico Airlines,"Mobile, AL - Macon, GA",Curtiss C-46A,N51424,30430,0,1955,2,0,2,2,0,2,1.0,"Mobile, AL "
1519,1955-04-04,"Islip, New York",United Air Lines,Training,Douglas DC-6,N37512,43001/32,0,1955,3,0,3,3,0,3,1.0,Training
1520,1955-04-11,"Off Great Natuna Island, Sarawak",Air India,Hong Kong - Jakarta,Lockheed 749A Constellation,VT-DEP,2666,0,1955,19,11,8,19,11,8,1.0,Hong Kong 
1521,1955-04-18,"Kupe Mountains, Cameroons",Union des Transportes Aeriens,Yaounde - Douala,de Havilland DH-114 Heron 1B,F-BGOI,14010,0,1955,14,10,4,12,9,3,0.8571428571428571,Yaounde 
1522,1955-05-18,"Mt. Kilimanjaro, Kenya",East African Airways,Dar-es-Salaam - Nairobi,Douglas DC-3,VP-KKH,16820/33568,0,1955,20,16,4,20,16,4,1.0,Dar
1523,1955-05-21,"Off Barcelona, Venezuela",Linea Aeropostal Venezolana,Caracas - Barcelona,Douglas C-47-DL,YV-C-ALU,4791,0,1955,16,13,3,4,4,0,0.25,Caracas 
1525,1955-06-03,"Fort Lamy, Cameroon",Union Aéromaritime de Transport,Douala - Fort Lamy,Douglas C-54A,F-BFVT,10292,0,1955,3,0,3,3,0,3,1.0,Douala 
1526,1955-06-16,"Near Asuncion, Paraguay",Panair do Brasil,Sao Paulo - Asuncion,Lockheed 049-46-21 Constellation,PP-PDJ,2032,0,1955,24,14,10,16,9,7,0.6666666666666666,Sao Paulo 
1528,1955-07-14,"Oaxaca, Mexico",Lineas Areas Unidas,Acapulco - Oaxaca,Douglas DC-2-243,XA-DOB,2088,0,1955,22,19,3,22,19,3,1.0,Acapulco 
1529,1955-07-17,"Chicago, Illinois",Braniff Airlines,"Kansas City, MO - Chicago",Convair CV-340-32,N3422,071,0,1955,43,40,3,22,20,2,0.5116279069767442,"Kansas City, MO "
1530,1955-07-27,"Near Petrich, Bulgaria",El Al,London - Paris - Vienna - Tel Aviv,Lockheed 049 Constellation,4X-AKC,1968,0,1955,58,51,7,58,51,7,1.0,London 
1531,1955-08-04,"Fort Leonard Wood, Missouri",American Airlines,"Springfield, IL - St. Louis, MO",Convair CV-240-0,N94221,040,0,1955,30,27,3,30,27,3,1.0,"Springfield, IL "
1532,1955-08-05,"Near Voronezh, Russia",Aeroflot,Starllingrad - Moscow.,Aeroflot,L5057,4340408,0,1955,25,20,5,25,20,5,1.0,Starllingrad 
1533,1955-08-11,"Near Edelweiler, West Germany",Military - U.S. Air Force / Military - U.S. Air Force,Dreux - Stuttgart,Fairchild C119G / Fairchild C119G,53-3222/53-7841,11258,0,1955,67,57,10,67,57,10,1.0,Dreux 
1534,1955-08-26,"Caparao Mountain, Brazil",Cruzeiro,Rio de Janeiro - Caravelas,Douglas DC-3,PP-CBY,11692,0,1955,13,9,4,13,9,4,1.0,Rio de Janeiro 
1536,1955-09-02,"Lanywa, Burma (Myanmar)",Union of Burma Airways,Meiktila - Lanywa,Douglas DC-3,XY-ACQ,12579,0,1955,12,9,3,12,9,3,1.0,Meiktila 
1537,1955-09-08,"Burbank, California",Currey Air Transport,Burbank - Oakland,Douglas DC-3,N74663,6257,1,1955,33,30,3,2,0,2,0.06060606060606061,Burbank 
1538,1955-09-10,"Near Banyo, Cameroon",Societe France Hydro,Lac Lérè - Douala,Latecoere 631 (flying boat),F-BDRE,8,0,1955,16,8,8,16,8,8,1.0,Lac Lérè 
1539,1955-09-17,"Near Thorhild, Alberta, Canada",Pacific Western Airlines,Edmonton - Yellowknife,Bristol 170 Freighter 31,CF-GBT,12831,0,1955,6,4,2,2,1,1,0.3333333333333333,Edmonton 
1540,1955-09-22,"Idris, Libya",British Overseas Airways,Rome - Tripoli,Canadair C-4 Argonaut,G-ALHL,158,0,1955,47,40,7,15,13,2,0.3191489361702128,Rome 
1541,1955-09-24,"Pacific Ocean (1,000 miles west of Honolulu, HI)",Flying Tiger Line,Wake Island - Honolulu,Douglas C-54A,N90433,10410,0,1955,5,0,5,3,0,3,0.6,Wake Island 
1543,1955-10-02,"Pico Oiriruma-Vinac, Peru",Faucett,Lima - Cuzco,Douglas C54A,OB-PAZ-228,10277,0,1955,35,31,4,19,15,4,0.5428571428571428,Lima 
1544,1955-10-06,"Near Centennial, Wyoming",United Air Lines,Denver - Salt Lake City - San Francisco,Douglas DC-4,N30062,18389,0,1955,66,63,3,66,63,3,1.0,Denver 
1545,1955-10-10,"Near Vienna, Austria",JAT Yugoslav Airlines,Beograd - Wien,Convair CV-340-58,YU-ADC,178,0,1955,29,25,4,7,6,1,0.2413793103448276,Beograd 
1546,1955-11-01,"Longmont, Colorado",United Air Lines,Denver - Portland,Douglas DC-6B,N37559,43538,0,1955,44,39,5,44,39,5,1.0,Denver 
1547,1955-11-17,"Near Las Vegas, Nevada",Military - U.S. Air Force,Burbank - Groom Dry Lake,Douglas MC-54M,44-9068,27294,0,1955,14,10,4,14,10,4,1.0,Burbank 
1548,1955-11-17,"Seattle, Washingon",Peninsular,Seattle - Newark,Douglas C-54,N88852,3123,0,1955,74,70,4,28,27,1,0.3783783783783784,Seattle 
1549,1955-11-20,"Iwo Jima, Japan",Military - US Air Force,Iwo Jima AFB - Tachikawa AFB,Douglas C124-DL Globemaster II,51-0149,43483,0,1955,11,2,9,10,2,8,0.9090909090909091,Iwo Jima AFB 
1551,1955-12-01,"Belem, Brazil",Cruzeiro,Belem - Barreiras,Douglas DC-3,PP-CCC,15845/32593,0,1955,6,4,2,6,4,2,1.0,Belem 
1552,1955-12-09,"Khabarovsk Territory, Russia",Aeroflot,Yuzhno-Sakhalinsk - Khabarovsk,Li-2,CCCP-L4993,23443306,0,1955,21,16,5,21,16,5,1.0,Yuzhno
1553,1955-12-17,"Hollywood, South Carolina",Riddle Airlines,New York - Miami,Curtiss C-46A,N9904F,30262,0,1955,2,0,2,2,0,2,1.0,New York 
1555,1955-12-21,"Jacksonville, Florida",Eastern Air Lines,Miami - Jacksonville - Boston,Lockheed 749C-79-12 Constellation,N112A,2533,0,1955,17,12,5,17,12,5,1.0,Miami 
1556,1956-01-12,"Frederick Henry Bay,  Australia",Ansett ANA,Melbourne - Hobart,Douglas C-47,VH-BZA,4651,0,1956,2,0,2,1,0,1,0.5,Melbourne 
1557,1956-01-17,"Oreway, Newfoundland, Canada",Quebecair,Knob Lake - Oreway,Douglas DC-3,CF-GVZ,15552/26997,0,1956,18,15,3,4,1,3,0.2222222222222222,Knob Lake 
1558,1956-01-18,"Torysa, Czechoslovakia",Ceskoslovenske Aerolinie,Bratislava - Kosice,Douglas DC-3,OK-WDZ,9385,0,1956,26,23,3,22,19,3,0.8461538461538461,Bratislava 
1559,1956-01-28,"Lyon, France",Air France,Nice - Marseille - Lyon - Paris,Douglas C-47,F-BCYK,4509,0,1956,3,0,3,3,0,3,1.0,Nice 
1561,1956-02-14,"Near Fort Chimo, Quebec, Canada",Spartan Air Services,"Frobisher Bay, Baffin Island - Fort Chimo, Quebec",Douglas C-47-DL,CF-BZH,6079,0,1956,3,0,3,2,0,2,0.6666666666666666,"Frobisher Bay, Baffin Island "
1562,1956-02-17,"Near Niles, California",Military - U.S. Marine Corps,El Toro MAS - Alameda NAS,Douglas R5D2,39116,18331,0,1956,40,35,5,40,35,5,1.0,El Toro MAS 
1563,1956-02-18,"Near Zurrieg, Malta",Scottish Airlines,Luqa -Stansted,Avro 685 York C-1,G-ANSY,MW193,0,1956,50,45,5,50,45,5,1.0,Luqa 
1564,1956-02-20,"Near Cairo, Egypt",Transport Aerien Intercontinentaux (France),Karachi - Bahrain - Cairo - Paris,Douglas DC-6B,F-BGOD,43835/380,0,1956,64,55,9,52,49,3,0.8125,Karachi 
1565,1956-02-24,"Near Aleppo, Syria",Syrian Airways,Aleppo - Damascus,Douglas DC-3,YK-AAE,14918/2636,0,1956,19,16,3,19,16,3,1.0,Aleppo 
1566,1956-02-25,"Jalkot, Pakistan",Pakistan International Airlines,Gilgit  - Islamabad,Douglas C-47B,AP-ACZ,16813/33561,0,1956,3,0,3,3,0,3,1.0,Gilgit  
1567,1956-03-21,"Tezpur, India",Indian Airlines,Gaughail - Tezpur,Douglas DC-3,VT-CGN,12989,0,1956,21,18,3,2,2,0,0.09523809523809523,Gaughail 
1568,1956-03-28,"Largs, England",Starways,Liverpool - Glasgow,Douglas C-47B,G-AMRB,16670/33418,0,1956,3,0,3,1,0,1,0.3333333333333333,Liverpool 
1569,1956-03-31,"Indapur, India",National Air Operators,Asansol - Bagdogra,Douglas C-47A,VT-DCM,10230,0,1956,3,0,3,3,0,3,1.0,Asansol 
1570,1956-03-31,"Korat ,Thailand",Military - Royal Thai Air Force,Korat AFB - Bangkok,Douglas C-47A,L2-14/96,12667,0,1956,19,17,2,19,17,2,1.0,Korat AFB 
1571,1956-04-01,"Pittsburgh, Pennsylvania",Trans World Airlines,Pittsburgh - Newark,Martin 404,N40403,14103,0,1956,36,33,3,22,21,1,0.6111111111111112,Pittsburgh 
1572,1956-04-02,"Seattle, Washington",Northwest Orient Airlines,Seattle - Portland,Boeing 377 Stratocruiser 10-30,N74608,15954,0,1956,38,32,6,5,4,1,0.13157894736842105,Seattle 
1573,1956-04-09,"Skilak Lake, Alaska",Cordova Airlines,Anchorage - Seward,Aero Commander  520,B5386N,520-7,0,1956,6,5,1,6,5,1,1.0,Anchorage 
1574,1956-04-18,"Parintins, Brazil",Panair do Brasil,Belem - Parintins,Consolidated PBY-5A Catalina,PP-PDB,22021,0,1956,12,7,5,3,1,2,0.25,Belem 
1575,1956-04-30,"London, England",Scottish Airlines,Stansted - Luqa - Habbaniya,Avro 685 York C-1,G-AMUL,MW308,0,1956,54,49,5,2,2,0,0.037037037037037035,Stansted 
1576,1956-05-15,"Kathmandu, Nepal",Indian Airlines,Shimla - Kathmandu,Douglas DC-3,VT-DBA,13165,1,1956,31,28,3,14,14,0,0.45161290322580644,Shimla 
1577,1956-05-15,"Orleans, Ontario, Canada",Military - Royal Canadian Air Force,Ottawa - Ottawa,CF-100 Mark 4B,18367,C-100/4/267,13,1956,2,0,2,2,0,2,1.0,Ottawa 
1578,1956-05-24,"Guatemala City, Guatemala",Aviateca,Guatemala City - La Tinta,Douglas C-47-DL (DC-3),TG-AHA,6052,0,1956,31,28,3,30,27,3,0.967741935483871,Guatemala City 
1580,1956-06-20,"Asbury Park, New Jersey",Linea Aeropostal Venezolana,New York City - Caracas,Lockheed 1049E-55 Super Constellation,YV-C-AMS,4561,0,1956,74,64,10,74,64,10,1.0,New York City 
1581,1956-06-24,"Kano, Nigeria",British Overseas Airways,Lagos - Kano - Tripoli - London,Canadair C-4 Argonaut,G-ALHE,151,0,1956,45,38,7,32,29,3,0.7111111111111111,Lagos 
1582,1956-06-30,"Grand Canyon, Arizona",United Air Lines / Trans World Airlines,Los Angeles - Chicago / Los Angeles - Kansas City,Douglas DC-7 / Lockheed S Constellation,N6902C/N6324C,44288 / 4016,0,1956,128,117,11,128,117,11,1.0,Los Angeles 
1583,1956-07-09,"Near Flat Rock, Michigan",Trans Canada Air Lines,Chicago - Montreal,Vickers Viscount,CF-TGR,55,0,1956,35,31,4,1,1,0,0.02857142857142857,Chicago 
1584,1956-07-13,"Near Brows Mills, New Jersey",Military - U.S. Air Force,McGuire AFB - Harmon AFB,Douglas C-118A,53-3301A,44672,0,1956,66,56,10,46,38,8,0.696969696969697,McGuire AFB 
1585,1956-07-15,"Shannon, Ireland",Swissair,Gander - Shannon,Convair CV-440-11,HB-IMD,335,0,1956,4,0,4,4,0,4,1.0,Gander 
1586,1956-07-16,"Rio Cuarto, Argentina",Aerolineas Argentinas,Buenos Aires - Rio Cuarto,Douglas DC-3,LV-ACD,13328,0,1956,18,14,4,18,14,4,1.0,Buenos Aires 
1587,1956-08-08,"Thazi, Burma",Union of Burma Airways,Rangoon - Mandalay,Douglas DC-3,XY-ADC,14348/2579,0,1956,22,18,4,12,9,3,0.5454545454545454,Rangoon 
1588,1956-08-29,"Cold Bay, Alaska",Canadian Pacific Air Lines,Vancouver - Cold Bay - Tokyo - Hong Kong,Douglas DC-6B,CF-CUP,43843/324,0,1956,22,14,8,15,11,4,0.6818181818181818,Vancouver 
1589,1956-09-09,"Amman, Jordan",Jordan International Airlines,Amman - Kuwait,Curtiss C-46A-45-CU,JY-ABV,27069,0,1956,57,53,4,1,1,0,0.017543859649122806,Amman 
1590,1956-09-09,"Bartlesville, Oklahoma",Continental Airlines,Tulsa - Bartlesville,Douglas DC-3 / Cessna 170B,N33315 / N8143A,4978 / 20995,0,1956,18,14,4,0,0,0,0.0,Tulsa 
1591,1956-10-02,"Near Nome, Alaska",Alaska Airlines,Unalakleet and Nome,Stinson AT-19,N 79069,FK-975,0,1956,5,4,1,5,4,1,1.0,Unalakleet and Nome
1592,1956-10-10,"Off Land's End, England",Military - U.S. Navy,RAF Lakenheath - McGuire AFB,Douglas C188-B,1311588,43691/321,0,1956,59,50,9,59,50,9,1.0,RAF Lakenheath 
1593,1956-10-16,Over the Pacific Ocean,Pan American World Airways,Honolulu - San Francisco,Boeing  377 Stratocruiser,N90943,15959,0,1956,31,24,7,0,0,0,0.0,Honolulu 
1596,1956-11-05,"Blackbushe, England",Britavia,Tripoli - Blackbushe,Handley Page HP-1 Hermes,G-ALDJ,HP-81/11,0,1956,80,74,6,7,5,2,0.0875,Tripoli 
1597,1956-11-07,"Hommelfjell, Norway",Braathens,Trondheim - Oslo,de Havilland DH-114 Heron 2B,LN-SUR,14093,0,1956,12,10,2,2,1,1,0.16666666666666666,Trondheim 
1598,1956-11-15,"Puerto Somoza, Nicaragua",Aerovias Guest,Tocumen - Guatemala City,Douglas C-54A-10-DC,XA-HEG,10324,0,1956,25,20,5,25,20,5,1.0,Tocumen 
1599,1956-11-17,"El Rucio Mountain, Colombia",Empresa Aviacion del Pacifico,Buenaventura - Cali,Douglas DC-3,HK-385,1971,0,1956,36,33,3,36,33,3,1.0,Buenaventura 
1600,1956-11-24,"Paris, France",Linee Aeree Italiane,Rome - Paris -  Shannon - New York City,Douglas DC-6B,I-LEAD,45075,8,1956,35,25,10,34,24,10,0.9714285714285714,Rome 
1601,1956-11-24,"Near Eglisau, Switzerland",Ceskoslovenske Aerolinie,Eglisau - Prague,Ilyushin IL-12B,OK-DBP,93013517,0,1956,23,18,5,23,18,5,1.0,Eglisau 
1602,1956-11-27,"Caracas, Venezuela",Linea Aeropostal Venezolana,New York - Caracas,Lockheed 749-79-34 Constellation,YV-C-AMA,2560,0,1956,25,18,7,25,18,7,1.0,New York 
1604,1956-12-09,"Near Chilliwack, British Columbia, Canada",Trans Canada Air Lines,Vancouver - Calgary - Toronto - Montreal,Canadair DC-4M-2 Northstar,CF-TFD,128,0,1956,62,59,3,62,59,3,1.0,Vancouver 
1605,1956-12-12,"Dannemois, France",Air France,Training,Vickers 708 Viscount,F-BGNK,8,0,1956,5,0,5,5,0,5,1.0,Training
1606,1956-12-22,"Grub, Germany",JAT Yugoslav Airlines,Wien - Munchen,Convair CV-340-58,YU-ADA,162,0,1956,30,27,3,3,1,2,0.1,Wien 
1607,1956-12-22,"Mt. Giner, Italy",Linee Aeree Italiane,Rome - Milan,Douglas DC-3,I-LINC,9101,0,1956,21,17,4,21,17,4,1.0,Rome 
1608,1956-12-31,"Dhahran, Saudi Arabia",Military - U.S. Air Force,Charleston - Hamilton - Horta - Lisbon - Tripoli - Dhahran,Lockheed C-121C Super Constellation,54-0165,4184,0,1956,38,31,7,12,12,0,0.3157894736842105,Charleston 
1609,1957-01-06,"Owasso, Oklahoma",American Airlines,Joplin - Owasso,Convair CV-240-0,N94247,104,0,1957,10,7,3,1,1,0,0.1,Joplin 
1610,1957-01-11,"Near Buenos Aires, Argentina",Lineas Aereas del Estado,Buenos Aires - Mar Del Plata - Mendoza,Vickers 615 Viking 1B,T-11,188,1,1957,33,29,4,17,15,2,0.5151515151515151,Buenos Aires 
1611,1957-01-23,"Ometepe Island, Nicaragua",Lanica,San Carlos - Managua,Douglas DC-3,AN-AEC,12312,0,1957,16,13,3,16,13,3,1.0,San Carlos 
1612,1957-01-29,"Paris, France",Air France,Tunis - Paris,SNCASE SE.2010 Armagnac,F-BAVG,06,0,1957,70,60,10,2,1,1,0.02857142857142857,Tunis 
1613,1957-01-31,"Near Sunland, California",Douglas Aircraft,Santa Monica - Santa Monica,Douglas DC-7B / U.S. Air Force F-89J,N8210H/52-187OA,45192 / 4447,3,1957,6,0,6,5,0,5,0.8333333333333334,Santa Monica 
1614,1957-02-01,"New York, New York",Northeast Airlines,New York City - Miami,Douglas DC-6A,N34954,44678/543,0,1957,101,95,6,21,21,0,0.2079207920792079,New York City 
1615,1957-02-22,"Kimpo Air Base, South Korea",Military - U.S. Air Force,"Kimpo AB - Tokyo, Japan",Douglas C-124C,51-141A,43475,0,1957,159,149,10,22,19,3,0.13836477987421383,Kimpo AB 
1616,1957-03-02,"Blyn, Washington",Alaska Airlines,Fairbanks - Seattle,Douglas C-54B,N90449,27239,0,1957,5,2,3,5,2,3,1.0,Fairbanks 
1618,1957-03-05,"Drayton, England",Military -Royal Air Force,Drayton - Multa,Blackburn Beverley C Mark 1,XH117,1023,2,1957,22,17,5,18,15,3,0.8181818181818182,Drayton 
1619,1957-03-09,"El Soldado, Colombia",AVIANCA,Condoto - Buenaventura - Cali,Douglas DC-3,HK-155,4338,0,1957,15,12,3,15,12,3,1.0,Condoto 
1620,1957-03-14,"Manchester, England",British European Airways,Amsterdam - Manchester,Vickers Viscount 701,G-ALWE,004,2,1957,20,15,5,20,15,5,1.0,Amsterdam 
1621,1957-03-17,"Near Cebu, Philippines",Military - Philippine Air Force,Cebu - Manila,Douglas C-47-A-75-DL Skytrain,2100925,19388,0,1957,25,22,3,24,21,3,0.96,Cebu 
1622,1957-03-18,"Near Sayari, Bolivia",Lloyd Aereo Boliviano,Cochabamba - Oruro,Douglas DC-3,CP-535,4867,0,1957,19,16,3,19,16,3,1.0,Cochabamba 
1623,1957-03-22,Over the North Pacific Ocean,Military - U.S. Air Force,Travis AFB - Tokyo,Boeing C-97C,50-702A,16246,0,1957,67,57,10,67,57,10,1.0,Travis AFB 
1624,1957-04-07,"Bage, Brazil",Varig,Bage - Porto Alegra,Curtiss C-46A-45-CU,PP-VCF,30283,0,1957,40,35,5,40,35,5,1.0,Bage 
1625,1957-04-08,"Algiers, Algeria",Air France,El Oued - Biskra - Alger - Marseille - Paris,Douglas DC-3,F-BEIK,14411/25856,0,1957,34,30,4,34,30,4,1.0,El Oued 
1626,1957-04-10,"Anchieta Island, Brazil",REAL,Rio de Janerio - Sao Paulo,Douglas DC-3,PP-ANX,13048,0,1957,30,26,4,26,23,3,0.8666666666666667,Rio de Janerio 
1628,1957-04-17,"Near El Quweira, Jordan",Military -Royal Air Force,"Aqaba AFB - Habbaniya, Iraq",Vickers Valetta C-Mk.1,VW832,393,0,1957,24,21,3,24,21,3,1.0,Aqaba AFB 
1630,1957-05-01,"Blackbushe, Hants, England",Eagle Aviation,Blackbushe - Tripoli,Vickers Viking 1B,G-AJBO,241,0,1957,35,30,5,34,29,5,0.9714285714285714,Blackbushe 
1631,1957-05-05,"Santoshpur, India",Indian Airlines,Silhcar - Calcutta,Douglas C-47A,VT-AUV,20318,0,1957,3,0,3,1,0,1,0.3333333333333333,Silhcar 
1632,1957-05-09,"Barajas, Madrid, Spain",Aviaco,Santiago de Compostella - Madrid,Bristol 170 Freighter,EC-ADI,12757,0,1957,37,32,5,37,32,5,1.0,Santiago de Compostella 
1633,1957-05-13,"Narsarressuak, Greenland",U.S. Overseas Airways,Broughton Island - Narsarsuaq,Douglas DC-4,N68736,7449,0,1957,3,0,3,2,0,2,0.6666666666666666,Broughton Island 
1634,1957-05-13,"New Delhi, India",Indian Airlines,Training,Douglas DC-3,VT-CFB,13626,3,1957,2,0,2,2,0,2,1.0,Training
1635,1957-05-13,"Near San Carlos de Bariloche, Argentina",Lineas Aereas del Estado,San - Carlos,Vickers 615 Viking 1B,T-3,151,0,1957,16,11,5,16,11,5,1.0,San 
1636,1957-06-14,"Near Moscow, Russia",LOT Polish Airlines,Warsaw - Moscow,Ilyushin P-14,SP-LNF,6341407,0,1957,13,8,5,9,5,4,0.6923076923076923,Warsaw 
1637,1957-06-18,"Bodensee, Switzerland",Swissair,Training,Douglas C-47B,HB-IRK,20737,0,1957,9,0,9,9,0,9,1.0,Training
1638,1957-06-22,"Near Clarksburg, Maryland",Capital Airlines,Training,Douglas C-47A,N88835,19448,0,1957,3,0,3,3,0,3,1.0,Training
1639,1957-06-23,"Port Hardy, BC, Canada",Pacific Western,Port Hardy - Vancouver,Douglas DC-3,CF-EPI,7408,0,1957,18,15,3,14,12,2,0.7777777777777778,Port Hardy 
1641,1957-07-01,"Bay of Bengal, Pakistan",Pakistan International Airlines,Chittagong - Dhaka,Douglas DC-3,AP-AJS,12501,0,1957,24,20,4,24,20,4,1.0,Chittagong 
1643,1957-07-16,"Near Biak, Indonesia",KLM Royal Dutch Airlines,Mokmer - Manila,Lockheed 1049C Super Constellation,PH-LKT,4504,0,1957,68,59,9,58,49,9,0.8529411764705882,Mokmer 
1644,1957-07-16,"Near Hsinchu, Taiwan (Formosa)",Military - United States Air Force,"Clark Field, Philippines - Taipei, Taiwan",Douglas C-47A-90 (DC-3),43-15867,20333,0,1957,16,9,7,16,9,7,1.0,"Clark Field, Philippines "
1645,1957-07-25,"Daggett, California",Western Airlines,Minneapolis -- Salt Lake - Cedar City - Las Vegas- LA,Convair CV-240,N8405H,22,0,1957,16,13,3,1,1,0,0.0625,Minneapolis 
1646,1957-08-11,"Near Issoudun, Quebec, Canada",Maritime Central Airways,Reykjavík - Montreal,Douglas DC-4,CF-MCF,18374,0,1957,79,73,6,79,73,6,1.0,Reykjavík 
1647,1957-08-15,"Copenhagen, Denmark",Aeroflot,Riga - Copenhagen,Ilyushin IL-14P,CCCP-L1874,146000607,0,1957,23,18,5,23,18,5,1.0,Riga 
1648,1957-08-20,"Assam, India",Indamer,Supply mission,Douglas DC-3,VT-ARH,04851,0,1957,8,0,8,8,0,8,1.0,Supply mission
1649,1957-08-29,"Near Juticalpa, Honduras",Sahsa Airlines,Catacamas - Juticalpa - Tegucigalpa,Douglas DC-3,XH-SAF,17139/3440,0,1957,12,9,3,12,9,3,1.0,Catacamas 
1650,1957-09-03,"Niquitao, Venezuela",Avensa,Maiquetia - Barinas,Douglas DC-3,YV-C-AVG,4754,0,1957,8,5,3,8,5,3,1.0,Maiquetia 
1651,1957-09-15,"New Bedford, Massachusetts",Northeast Airlines,Martha's Vineyard - New Bedford,Douglas DC-3,N33417,7337,0,1957,24,21,3,12,10,2,0.5,Martha's Vineyard 
1652,1957-09-18,"Montevideo,  Uruguay",REAL,San Pablo - Porto Alegre - Montevideo,Convair CV-440-62,PP-AQE,456,0,1957,35,30,5,1,0,1,0.02857142857142857,San Pablo 
1653,1957-09-27,"Bhiwandi, Maharashtra, India",èkoda (India) Ltd,Bombay - Indore,Let Aero 45S,VT-DHO,51198,0,1957,3,0,3,3,0,3,1.0,Bombay 
1654,1957-09-28,"Islay-Glenegedale Airport, Scotland",British European Airways,14099,de Havilland DH-114 Heron,G-AOFY,14099,0,1957,3,0,3,3,0,3,1.0,14099
1655,1957-10-01,"Akshi, Russia",Aeroflot,Irkutsk - Chita,Ilyushin IL-12,CCCP-L1389,30 123,0,1957,27,22,5,27,22,5,1.0,Irkutsk 
1656,1957-10-03,"Beirut, Lebanon",Lebanese International Airways,Beirut - Kuwait City,Curtiss C-46A-45-CU,OD-ACK,30249,0,1957,27,23,4,27,23,4,1.0,Beirut 
1657,1957-10-18,"Porto Alegre, Brazil",Varig,Porto Alegre - Sao Paulo,Douglas C-47A,PP-VCS,19757,0,1957,2,0,2,2,0,2,1.0,Porto Alegre 
1658,1957-10-23,"Belfast, Ireland",British European Airways,London - Belfast,Vickers 802 Viscount,G-AOJA,150,0,1957,7,5,2,7,5,2,1.0,London 
1659,1957-10-28,"Madrid, Spain",Iberia Airlines,Tanger - Madrid,Douglas DC-3,EC-ACH,19332,0,1957,21,17,4,21,17,4,1.0,Tanger 
1661,1957-11-03,"Dusseldorf, West Germany",Herfurtner Company,Düsseldorf - Reykjavik - New York,Douglas DC-4,D-ALAF,459,1,1957,10,3,7,7,0,6,0.7,Düsseldorf 
1662,1957-11-04,"Moscow, Russia",TAROM,Bucharest - Kiev - Moscow,Ilushin Il-14,YR-PCC,1460 010 10,0,1957,16,10,6,4,1,3,0.25,Bucharest 
1663,1957-11-06,"Bristol, England",Bristol Aeroplane Co.,Test flight,Bristol Britannia 175,G-ANCA,12917,0,1957,15,0,15,15,0,15,1.0,Test flight
1664,1957-11-08,"900 miles E of Honolulu, Hawaii, Pacific Ocean",Pan American World Airways,San Fransisco - Honolulu,Boeing - 377-10-29 Stratocruiser,N90944,15960/40,0,1957,44,36,8,44,36,8,1.0,San Fransisco 
1665,1957-11-15,"Chessell Down, England",Aquilla Airways,thampton - Lisbon - Funchal,Short Solent 3 (flying boat),G-AKNU,S-1299,0,1957,58,50,8,43,35,8,0.7413793103448276,thampton 
