,Fecha,Ubicacion,Operador,Ruta,Tipo Avion,Num Registro,cn / ln,Total Muertes en Suelo,Año,Total Abordo,Pasajeros abordo,Tripulación Abordo,Total Muertes,Muertes Pasajeros,Muertes Tripulacion,Tasa Mortalidad,Ciudad
2325,1967-12-10,"Near Madison, Wisconsin",Private,"Cleveland, OH - Madison WI",Beechcraft 18H,N390R,BA-623,0,1967,8,7,1,7,6,1,0.875,"Cleveland, OH "
2326,1967-12-21,"Denver, Colorado",Frontier Airlines,"Denver, CO - Scottsbluff, NE",Douglas C-47A,N65276,19202,0,1967,2,0,2,2,0,2,1.0,"Denver, CO "
2327,1967-12-25,"Chiang Mai, Thailand",Thai Airways,Bangkok - Chiang Mai,Douglas DC-3,HS-TDH,9189,0,1967,31,28,3,4,2,2,0.12903225806451613,Bangkok 
2328,1967-12-30,"Liepaja, Latvia",Aeroflot,Riga - Liepaja,Antonov AN-24B,CCCP-46215,67302909,0,1967,51,46,5,44,41,3,0.8627450980392157,Riga 
2329,1968-01-06,"Near Olekminsk, Russia",Aeroflot,Olekminsk - 	Lensk,Antonov An-24B,CCCP-47733,69901001,0,1968,46,39,6,45,39,6,0.9782608695652174,Olekminsk 
2331,1968-01-10,"Near Copper Canyon, Nevada",Military - U.S. Marine Corps,Buckley ANGB - Seattle NAS,Douglas C-54P,50850,10427,0,1968,19,12,7,19,12,7,1.0,Buckley ANGB 
2333,1968-01-27,"Moroni, Comoro Islands",Air Comores,Dar es-Salaam - Moroni,de Havilland DH-114 Heron 1B,F-OECD,14040,0,1968,16,15,1,15,14,1,0.9375,Dar es
2334,1968-02-07,"Rohtang Pass, Northern India",Military - Indian Air Force,"Leh, Kashmir - Chandigarh, Punjab",Antonov AN-12BP,BL534,024003,0,1968,102,98,4,102,98,4,1.0,"Leh, Kashmir "
2335,1968-02-07,"Vancouver, Canada",Canadian Pacific Air Lines,Honolulu - Vancouver,Boeing B-707-138B,N791SA,17698/44,1,1968,61,52,9,1,0,1,0.01639344262295082,Honolulu 
2336,1968-02-16,"Linkuo, Taiwan",Civil Air Transport,Hong Kong - Taipei,Boeing B-727-92C,B-1018,19175/339,2,1968,63,52,11,21,18,3,0.3333333333333333,Hong Kong 
2337,1968-02-24,"Ban Napa, Laos",Royal Air Lao,Vientiane - Sayaboury,Douglas DC-3,XW-TAD,26696,0,1968,37,34,3,37,34,3,1.0,Vientiane 
2338,1968-02-29,"Near Bratsk, Russia",Aeroflot,Krasnoyarsk - 	Petropavlovsk,Ilyushin IL-18D,CCCP-74252,187010601,0,1968,84,75,9,83,74,9,0.9880952380952381,Krasnoyarsk 
2339,1968-03-05,"Near Khe Sanh, South Vietnam",Military - U.S. Air Force,Hue - Khe Sanh,Fairchild C-123K,54-0590,20039,0,1968,49,45,4,49,45,4,1.0,Hue 
2340,1968-03-06,"Basse-Terre, Guadeloupe, West Indies",Air France,Caracas - Pointe a Pitre,Boeing B-707-328C,F-BLCJ,19724,0,1968,63,52,11,63,52,11,1.0,Caracas 
2341,1968-03-08,"Off Panay Island, Philippines",Air Manila,Manila - Lapu Lapu,Fairchild F-27,PI-C871,0019,0,1968,14,10,4,14,10,4,1.0,Manila 
2342,1968-03-09,"Near Saint Denis, Reunion",Military - French Air Force,Saint Denis - Paris,Douglas DC6B,43748,43748/314,0,1968,20,12,8,19,12,7,0.95,Saint Denis 
2343,1968-03-24,"Off Wexford Harbor, Ireland",Aer Lingus,Cork - London,Vickers Viscount 803,EI-AOM,178,0,1968,61,57,4,61,57,4,1.0,Cork 
2344,1968-03-27,"St. Louis, Missouri",Ozark Air Lines / Private,"Peoria, IL - St. Louis, MO",McDonnell Douglas DC-9 and Cessna 150F,N970Z/N8669G,45772/30,0,1968,51,45,6,2,1,1,0.0392156862745098,"Peoria, IL "
2346,1968-04-08,"Near Coyhaique, Chile",Ladeco,Santiago - Coihaique,Douglas DC-3,CC-CBM,6330,0,1968,36,33,3,36,33,3,1.0,Santiago 
2347,1968-04-08,"Heathrow Airport, London, England",British Overseas Airways,London - Zurich,Boeing B-707-465,G-ARWE,18373,0,1968,127,116,11,5,4,1,0.03937007874015748,London 
2348,1968-04-10,"Near Mexico City, Mexico",Aerovias Rojas,Aguascalientes - Mexico City,Douglas DC-3,XA-GEV,7339,0,1968,18,14,4,18,14,4,1.0,Aguascalientes 
2350,1968-04-20,"Near Windhoek, South-West  Africa (Namibia)",South African Airways,Windhoek - Luanda,Boeing B-707-344C,ZS-EUW,19705,0,1968,128,116,12,123,111,12,0.9609375,Windhoek 
